PERGUNTAS,CLASSES
"['explicar', 'hiperparâmetro', 'n', 'jobs']",nJobs
"['hiperparâmetro', 'min', 'sample', 'leaf']",minSampleLeaf
"['servir', 'hiperparâmetro', 'min', 'sample', 'leaf']",minSampleLeaf
"['como', 'hiperparâmetro', 'min', 'sample', 'leaf', 'afetar', 'funcionar']",minSampleLeaf
"['importância', 'hiperparâmetro', 'min', 'sample', 'leaf']",minSampleLeaf
"['explicar', 'hiperparâmetro', 'min', 'sample', 'leaf']",minSampleLeaf
"['método', 'subespaço', 'aleatório']",metodo
"['definição', 'método', 'subespaço', 'aleatório']",metodo
"['significar', 'método', 'subespaço', 'aleatório']",metodo
"['conceito', 'método', 'subespaço', 'aleatório']",metodo
"['significado', 'método', 'subespaço', 'aleatório']",metodo
"['hiperparâmetro', 'max', 'features']",maxFeatures
"['servir', 'hiperparâmetro', 'max', 'features']",maxFeatures
"['como', 'hiperparâmetro', 'max', 'features', 'afetar', 'funcionar']",maxFeatures
"['importância', 'hiperparâmetro', 'max', 'features']",maxFeatures
"['explicar', 'hiperparâmetro', 'max', 'features']",maxFeatures
"['existir', 'variar', 'implementar']",implementacao
"['possível', 'substituir', 'árvore', 'decisão', 'outro', 'estrutura']",implementacao
"['floresta', 'aleatório', 'só', 'funcionar', 'basear', 'árvore', 'decisão']",implementacao
"['haver', 'algum', 'substitutivo', 'árvore', 'decisão', 'floresta', 'aleatório']",implementacao
"['poder', 'usar', 'outro', 'como', 'estimar', 'base']",implementacao
"['motivar', 'criação', 'floresta', 'aleatório']",historia
"['causar', 'criação', 'floresta', 'aleatório']",historia
"['floresta', 'aleatório', 'criar']",historia
"['floresta', 'aleatório', 'existir']",historia
"['razão', 'floresta', 'aleatório', 'ter', 'criar']",historia
"['desenvolver', 'floresta', 'aleatório']",historia
"['criar', 'floresta', 'aleatório']",historia
"['nome', 'elaborar', 'floresta', 'aleatório']",historia
"['nome', 'criador']",historia
"['nome', 'desenvolvedor', 'floresta', 'aleatório']",historia
"['quando', 'floresta', 'aleatório', 'criar']",historia
"['data', 'criação', 'floresta', 'aleatório']",historia
"['momento', 'floresta', 'aleatório', 'criar']",historia
"['haver', 'quanto', 'tempo', 'floresta', 'aleatório', 'criar']",historia
"['data', 'criar', 'floresta', 'aleatório']",historia
"['servir', 'hiperparâmetros']",hiperparametro
"['importância', 'hiperparâmetros', 'floresta', 'aleatória']",hiperparametro
"['como', 'configuração', 'hiperparâmetros', 'afetar', 'desempenho']",hiperparametro
"['hiperparâmetros', 'e', 'ele', 'servir']",hiperparametro
"['serventia', 'hiperparâmetros']",hiperparametro
"['servir', 'parâmetro', 'floresta', 'aleatório']",hiperparametro
"['utilizar', 'parâmetro', 'floresta', 'aleatório']",hiperparametro
"['mudar', 'parâmetro', 'floresta', 'aleatório', 'poder', 'modificar']",hiperparametro
"['impacto', 'parâmetro', 'floresta', 'aleatório']",hiperparametro
"['aumento', 'parâmetro', 'trazer', 'benefício', 'floresta', 'aleatório']",hiperparametro
"['parâmetro', 'dever', 'modificar', 'aumentar', 'poder', 'preditivo', 'floresta', 'aleatório']",hiperparametro
"['parâmetro', 'poder', 'modificar', 'aumentar', 'poder', 'preditivo', 'floresta', 'aleatório']",hiperparametro
"['modificar', 'poder', 'aumentar', 'poder', 'preditivo', 'floresta', 'aleatório']",hiperparametro
"['parâmetro', 'responsável', 'aumentar', 'poder', 'preditivo', 'floresta', 'aleatório']",hiperparametro
"['com', 'parâmetro', 'floresta', 'aleatório', 'melhora', 'seu', 'poder', 'preditivo']",hiperparametro
"['parâmetro', 'dever', 'modificar', 'aumentar', 'velocidade', 'modelo', 'floresta', 'aleatório']",hiperparametro
"['parâmetro', 'poder', 'modificar', 'aumentar', 'velocidade', 'modelo', 'floresta', 'aleatório']",hiperparametro
"['modificar', 'poder', 'aumentar', 'velocidade', 'modelo', 'floresta', 'aleatório']",hiperparametro
"['parâmetro', 'responsável', 'aumentar', 'velocidade', 'modelo', 'floresta', 'aleatório']",hiperparametro
"['com', 'parâmetro', 'floresta', 'aleatório', 'tornar', '-se', 'mais', 'eficaz']",hiperparametro
"['como', 'operar']",funcionamento
"['mecanismo', 'funcionar']",funcionamento
"['passo', 'executar', 'floresta', 'randômica']",funcionamento
"['como', 'atuar']",funcionamento
"['floresta', 'randômica', 'fazer']",funcionamento
"['tocante', 'resultados', 'floresta', 'poder', 'obter', 'e', 'número', 'árvore', 'este', 'floresta', 'haver', 'relação']",funcionamento
"['existir', 'relação', 'direto', 'entre', 'número', 'árvore', 'floresta', 'e', 'resultados', 'ele', 'poder', 'obter']",funcionamento
"['haver', 'relação', 'direto', 'entre', 'número', 'árvore', 'floresta', 'e', 'resultados', 'ele', 'poder', 'obter']",funcionamento
"['formar', 'número', 'árvore', 'floresta', 'impactar', 'resultados']",funcionamento
"['existir', 'relação', 'direto', 'entre', 'resultados', 'floresta', 'poder', 'obter', 'e', 'número', 'árvore', 'conter']",funcionamento
"['diferença', 'entre', 'e', 'árvore', 'decisão']",funcionamento
"['diferença', 'entre', 'e', 'árvore', 'decisão']",funcionamento
"['como', 'e', 'árvore', 'decisão', 'diferente']",funcionamento
"['e', 'decision', 'tree', 'selecionar', 'nodo', 'raiz', 'mesmo', 'forma']",funcionamento
"['mecanismo', 'utilizar', 'e', 'decision', 'tree', 'selecionar', 'nodo', 'raiz']",funcionamento
"['como', 'funcionar', 'floresta', 'aleatório']",funcionamento
"['como', 'operar', 'floresta', 'aleatório']",funcionamento
"['como', 'trabalhar', 'floresta', 'aleatório']",funcionamento
"['funcionar', 'floresta', 'aleatório']",funcionamento
"['como', 'floresta', 'aleatório', 'realizar', 'classificação']",funcionamento
"['quantas', 'e', 'fase', 'floresta', 'aleatório']",funcionamento
"['como', 'funcionar', 'fase', 'floresta', 'aleatório', 'e', 'quanto']",funcionamento
"['mudança', 'exercer', 'cada', 'fase', 'floresta', 'aleatório']",funcionamento
"['cada', 'fase', 'floresta', 'aleatório', 'fazer']",funcionamento
"['papel', 'cada', 'fase', 'floresta', 'aleatório']",funcionamento
"['como', 'fazer', 'treinar', 'floresta', 'aleatória']",funcionamento
"['como', 'floresta', 'aleatória', 'treinar']",funcionamento
"['como', 'treinar', 'floresta', 'aleatória']",funcionamento
"['como', 'ocorrer', 'treinar', 'floresta', 'aleatória']",funcionamento
"['fazer', 'treinar', 'floresta', 'aleatória']",funcionamento
['vantagem'],desvantagem
"['ponto', 'fraco', 'floresta', 'randômica']",desvantagem
"['limitar', 'floresta', 'randômica']",desvantagem
"['poder', 'justificar', 'não', 'uso']",desvantagem
"['fazer', 'com', 'nao', 'sempre', 'viável']",desvantagem
"['malefício', 'uso', 'floresta', 'aleatório']",desvantagem
"['prejuízo', 'floresta', 'aleatório', 'poder', 'causar', 'aplicação']",desvantagem
"['vantagem', 'uso', 'floresta', 'aleatório']",desvantagem
"['situação', 'floresta', 'aleatório', 'poder', 'prejudicar', 'aplicação']",desvantagem
"['característica', 'ruim', 'floresta', 'aleatório']",desvantagem
['hiperparâmetros'],conceitoHiperparametro
"['definição', 'hiperparâmetros']",conceitoHiperparametro
"['significar', 'hiperparâmetro']",conceitoHiperparametro
"['conceito', 'hiperparâmetro']",conceitoHiperparametro
"['significado', 'hiperparâmetro']",conceitoHiperparametro
"['árvore', 'decisão']",conceitoArvore
"['definição', 'árvore', 'decisão']",conceitoArvore
"['significar', 'árvore', 'decisão']",conceitoArvore
"['conceito', 'árvore', 'decisão']",conceitoArvore
"['significado', 'árvore', 'decisão']",conceitoArvore
[],conceito
['conceito'],conceito
['consistir'],conceito
"['alguém', 'me', 'explicar']",conceito
"['do', 'tratar']",conceito
"['floresta', 'aleatório']",conceito
"['definição', 'floresta', 'aleatório']",conceito
"['significar', 'floresta', 'aleatório']",conceito
"['conceito', 'floresta', 'aleatório']",conceito
"['significado', 'floresta', 'aleatório']",conceito
"['problema', 'árvore', 'decisão', 'capaz', 'superar']",comparacao
"['haver', 'algum', 'vantagem', 'comparação', 'com', 'decision', 'tree']",comparacao
"['haver', 'algum', 'diferença', 'relevante', 'resultados', 'obter', 'floresta', 'randômica', 'e', 'árvores', 'decisão']",comparacao
"['tocante', 'resultados', 'obter', 'diferenciar', 'floresta', 'randômica', 'e', 'árvores', 'decisão']",comparacao
"['tanger', 'resultados', 'obter', 'diferenciar', 'e', 'decision', 'tree']",comparacao
"['principal', 'aplicar']",aplicacao
"['setor', 'utilizar', 'comumente']",aplicacao
"['principal', 'aplicar', 'quê']",aplicacao
"['onde', 'normal', 'aplicar']",aplicacao
"['principal', 'área', 'aplicação']",aplicacao
"['como', 'utilizar', 'florest', 'aleatório', 'banco']",aplicacao
"['servir', 'sistema', 'bancário']",aplicacao
"['principal', 'utilizar', 'setor', 'bancário']",aplicacao
"['principal', 'uso', 'sistema', 'bancário']",aplicacao
"['principal', 'uso', 'sistema', 'financeiro']",aplicacao
"['quê', 'usar', 'campo', 'medicina']",aplicacao
"['principal', 'medicina']",aplicacao
"['contexto', 'medicina', 'como', 'poder', 'útil']",aplicacao
"['principal', 'uso', 'medicina']",aplicacao
"['medicina', 'principal', 'usar']",aplicacao
"['quê', 'usar', 'campo', 'mercado', 'ação']",aplicacao
"['principal', 'mercado', 'acionário']",aplicacao
"['contexto', 'mercado', 'ação', 'como', 'poder', 'útil']",aplicacao
"['principal', 'uso', 'mercado', 'ação']",aplicacao
"['mercado', 'ação', 'principal', 'usar']",aplicacao
"['principal', 'e-commerce']",aplicacao
"['contexto', 'e-commerce', 'como', 'poder', 'útil']",aplicacao
"['principal', 'uso', 'e-commerce']",aplicacao
"['e-commerce', 'principal', 'usar']",aplicacao
"['setor', 'e-commerce', 'usar']",aplicacao
"['poder', 'usar', 'classificação']",aplicacao
"['poder', '-se', 'usar', 'classificação']",aplicacao
"['classificação', 'coisa', 'poder', 'usar']",aplicacao
"['is', 'classification', 'possible', 'to', 'be', 'used', 'with']",aplicacao
"['aplicar', 'classificação', 'ele']",aplicacao
"['poder', 'usar', 'regressão']",aplicacao
"['poder', 'usar', 'regressão']",aplicacao
"['regressão', 'coisa', 'poder', 'usar']",aplicacao
"['possível', 'usar', 'regressão', 'com']",aplicacao
"['aplicar', 'regressão', 'ele']",aplicacao
"['servir', 'floresta', 'aleatório']",aplicacao
"['objetivo', 'floresta', 'aleatório']",aplicacao
"['propósito', 'floresta', 'aleatório']",aplicacao
"['finalidade', 'floresta', 'aleatório']",aplicacao
"['floresta', 'aleatório', 'ter', 'como', 'objetivo']",aplicacao
"['hiperparâmetro', 'n', 'estimators']", nEstimators
"['servir', 'hiperparâmetro', 'n', 'estimators']", nEstimators
"['como', 'hiperparâmetro', 'n', 'estimators', 'afetar', 'funcionar']", nEstimators
"['importância', 'hiperparâmetro', 'n', 'estimators']", nEstimators
"['explicar', 'hiperparâmetro', 'n', 'estimators']", nEstimators
[],
"['floresta', 'aleatório']",conceito
['what'],conceito
"['floresta', 'aleatório']",conceito
"['seriar', 'floresta', 'aleatório']",conceito
[],conceito
"['como', 'funcionar']",funcionamento
"['funcionar', 'forma']",funcionamento
"['como', 'funcionar']",funcionamento
"['como', 'funcionar', 'floresta', 'aleatório']",funcionamento
"['como', 'funcionar', 'floresta', 'aleatorio']",funcionamento
['usar'],aplicacao
['servir'],aplicacao
['aplicar'],aplicacao
"['e', 'sua', 'aplicar']",aplicacao
"['pra', 'usar', 'floresta', 'aleatório']",aplicacao
['vantagem'],aplicacao
"['benefício', 'utilizar']",aplicacao
"['proveito', 'utilizar']",aplicacao
"['vantagem', 'floresta', 'aleatório']",aplicacao
"['proveito', 'utilizar', 'floresta', 'aleatório']",aplicacao
['vantagem'],aplicacao
"['prejuízo', 'utilizar']",aplicacao
['limitar'],aplicacao
"['limitar', 'floresta', 'aleatório']",aplicacao
"['vantagem', 'floresta', 'aleatório']",aplicacao
['criar'],historia
['desenvolver'],historia
"['nome', 'criador']",historia
"['criar', 'florest', 'aleatório']",historia
"['nome', 'criador', 'floresta', 'aleatório']",historia
"['data', 'criação']",historia
"['ano', 'criação']",historia
"['data', 'criação', 'floresta', 'aleatório']",historia
"['ano', 'criação', 'floresta', 'aleatório']",historia
"['quando', 'criar']",historia
"['floresta', 'aleatório', 'usar', 'árvore', 'decisão']",classificacao
"['usar', 'árvore', 'decisão']",classificacao
"['utilizar', 'árvore', 'decisão']",classificacao
"['floresta', 'aleatório', 'usar', 'árvore', 'decisão']",classificacao
"['e', 'árvore', 'decisão']",classificacao
"['árvore', 'decisão']",conceito
"['decision', 'tree']",conceito
"['árvore', 'decisão']",conceito
"['árvore', 'decisão']",conceito
"['seriar', 'árvore', 'decisão']",conceito
"['diferença', 'entre', 'floresta', 'aleatório', 'e', 'arvore', 'decisão']",comparacao
"['distinção', 'entre', 'floresta', 'aleatório', 'e', 'arvore', 'decisão']",comparacao
"['diferença', 'entre', 'e', 'decision', 'tree']",comparacao
"['diferença', 'entre', 'floresta', 'aleatório', 'e', 'arvore', 'decisão']",comparacao
"['diferença', 'entre', 'e', 'arvore', 'decisão']",comparacao
"['principal', 'hiperparametros', 'aumentar', 'poder', 'preditivo']",parametro
"['principal', 'hiperparametros', 'utilizar', 'aumentar', 'poder', 'preditivo']",parametro
"['principal', 'hiperparametros', 'aumentar', 'poder', 'preditivo']",parametro
"['principal', 'hiperparametros', 'aumentar', 'poder', 'preditivo']",parametro
"['principal', 'hiperparametros', 'utilizar', 'aumentar', 'poder', 'preditivo']",parametro
"['principal', 'hiperparametros', 'aumentar', 'velocidade', 'modelo']",parametro
"['principal', 'hiperparametros', 'utilizar', 'aumentar', 'velocidade', 'modelo']",parametro
"['principal', 'hiperparametros', 'aumentar', 'velocidade', 'modelo']",parametro
"['principal', 'hiperparametros', 'aumentar', 'velocidade', 'modelo']",parametro
"['principal', 'hiperparametros', 'utilizar', 'aumentar', 'velocidade', 'modelo']",parametro
"['como', 'construir', 'floresta', 'aleatório']",funcionamento
"['como', 'construir', 'floresta', 'aleatório']",funcionamento
"['como', 'construir']",funcionamento
"['como', 'construir']",funcionamento
"['como', 'fazer', 'construir', 'floresta', 'aleatório']",funcionamento
"['areas', 'floresta', 'aleatório', 'utilizar']",aplicacao
"['areas', 'utilizar', 'floresta', 'aleatório']",aplicacao
"['areas', 'utilizar']",aplicacao
"['areas', 'utilizar']",aplicacao
"['utilizar', 'areas']",aplicacao
['caracteristicas'],caracteristica
['caracteristicas'],caracteristica
"['caracteristicas', 'floresta', 'aleatório']",caracteristica
"['ter', 'caracteristicas']",caracteristica
"['floresta', 'aleatório', 'ter', 'caracteristicas']",caracteristica
"['como', 'utilizar', 'sistema', 'financeiro']",aplicacao
"['como', 'utilizar', 'sistema', 'financeiro']",aplicacao
"['utilizar', 'como', 'sistema', 'financeiro']",aplicacao
"['como', 'floresta', 'aleatório', 'utilizar', 'sistema', 'financeiro']",aplicacao
"['sistema', 'financeiro']",aplicacao
"['como', 'utilizar', 'área', 'saúde']",aplicacao
"['como', 'utilizar', 'área', 'médico']",aplicacao
"['utilizar', 'como', 'área', 'saúde']",aplicacao
"['utilizar', 'como', 'área', 'médico']",aplicacao
"['área', 'saúde']",aplicacao
"['como', 'utilizar', 'comércio', 'eletrônico']",aplicacao
"['como', 'utilizar', 'e-commerce']",aplicacao
"['como', 'utilizar', 'e-commerce']",aplicacao
"['utilizar', 'como', 'e-commerce']",aplicacao
"['comércio', 'eletrônico']",aplicacao
"['como', 'utilizar', 'sistema', 'bancário']",aplicacao
"['como', 'usar', 'sistema', 'bancário']",aplicacao
"['como', 'banco', 'usar']",aplicacao
"['como', 'banco', 'utilizar']",aplicacao
"['sistema', 'bancário']",aplicacao
['i.'],definicao
"['floresta', 'aleatório', 'i.']",definicao
"['poder', 'considerar', 'como', 'i.']",definicao
"['inteligência', 'articial']",definicao
"['floresta', 'aleatório', 'inteligência', 'artificial']",definicao
[],
['objetivo'],proposito
"['buscar', 'fazer']",proposito
['propósito'],proposito
['meta'],proposito
['designar'],proposito
[],
"['aprendizado', 'supervisionar', 'ou', 'não', 'supervisionar']",conceito
"['supervisionar', 'ou', 'não', 'supervisionar']",conceito
"['supervisionar', 'ou', 'não', 'supervisionar']",conceito
"['supervisionar', 'ou', 'não', 'supervisionar']",conceito
"['como', 'classificar']",conceito
[],
"['estrutura', 'dado', 'utilizar', 'primordial']",funcionamento
"['sua', 'principal', 'estrutura', 'dado']",funcionamento
"['estrutura', 'dado', 'base']",funcionamento
"['estrutura', 'dado', 'primordial', 'floresta', 'aleatório']",funcionamento
"['estrutura', 'dado', 'primordial', 'utilizar']",funcionamento
[],
"['diferença', 'decision', 'tree']",comparacao
"['dissemelhanças', 'entre', 'e', 'decision', 'tree']",comparacao
"['diferença', 'entre', 'floresta', 'aleatório', 'e', 'decision', 'tree']",comparacao
"['distinguir', 'decision', 'tree']",comparacao
"['floresta', 'aleatório', 'e', 'árvore', 'decisão', 'diferente']",comparacao
[],
"['citar', 'algum', 'vantagem']",vantagem
['vantagem'],vantagem
"['valer', 'pena', 'usar']",vantagem
"['comentar', 'vantagem']",vantagem
"['vantagem', 'trazer']",vantagem
[],
"['citar', 'algum', 'vantagem']",desvantagem
['vantagem'],desvantagem
"['vantagem', 'floresta', 'aleatório']",desvantagem
"['comente', 'vantagem']",desvantagem
"['vantagem', 'trazer']",desvantagem
[],
"['ano', 'propor']",historia
"['ano', 'propor']",historia
"['ano', 'floresta', 'aleatório', 'propor']",historia
"['apresentar', 'ano']",historia
"['ano', 'propor']",historia
[],
"['formar', 'features', 'escolher', 'cada', 'decision', 'tree']",funcionamento
"['formar', 'features', 'escolher', 'cada', 'árvore', 'decisão']",funcionamento
"['como', 'escohidas', 'features', 'árvore', 'decisão']",funcionamento
"['como', 'escolher', 'features', 'cada', 'decision', 'tree']",funcionamento
"['como', 'decidir', 'features', 'cada', 'árvore', 'decisão']",funcionamento
[],
"['explicar', 'conceito', 'bagging']",bagging
['bagging'],bagging
"['definir', 'conceito', 'bagging']",bagging
"['explique', 'como', 'funcionar', 'bagging']",bagging
"['detalhe', 'conceito', 'bagging', 'floresta', 'aleatório']",bagging
[],
"['como', 'utilizar', 'conceito', 'bagging']",funcionamento
"['como', 'utilizar', 'bagging']",funcionamento
"['como', 'implementar', 'conceito', 'bagging']",funcionamento
"['como', 'usar', 'conceito', 'bagging', 'floresta', 'aleatório']",funcionamento
"['como', 'usar', 'bagging']",funcionamento
[],
"['como', 'poder', 'utilizar', 'e-commerce']",aplicacao
"['como', 'e-commerce', 'poder', 'usar']",aplicacao
"['como', 'poder', 'usar', 'e-commerce']",aplicacao
"['utilizade', 'e-commerce']",aplicacao
"['como', 'poder', 'aplicar', 'e-commerce']",aplicacao
[],
['overfit'],overfit
"['definição', 'overfit']",overfit
"['significar', 'overift']",overfit
"['significado', 'overift']",overfit
"['significado', 'termo', 'overfit']",overfit
[],
"['como', 'reduzir', 'overfit']",funcionamento
"['indique', 'forma', 'reduzir', 'overfit']",funcionamento
"['poder', 'fazer', 'reduzir', 'overfit']",funcionamento
"['como', 'poder', '-se', 'reduzir', 'overift', 'tipo']",funcionamento
"['forma', 'poder', '-se', 'reduzir', 'overfit']",funcionamento
[],
"['explicar', 'parâmetro', 'n', 'estimators']",nEstimators
"['como', 'parâmetro', 'n', 'estimators', 'impactar']",nEstimators
"['função', 'parâmetro', 'n', 'estimators']",nEstimators
"['servir', 'parâmetro', 'n', 'estimators']",nEstimators
"['formar', 'parâmetro', 'n', 'estimators', 'influenciar', 'comportar']",nEstimators
[],
"['consequência', 'árvore', 'ter', 'alta', 'correlação', 'entre', 'si']",funcionamento
"['acarretar', 'árvore', 'ter', 'alta', 'correlação', 'entre', 'si']",funcionamento
"['efeito', 'decision', 'trees', 'ter', 'alta', 'correlação', 'entre', 'si']",funcionamento
"['árvore', 'ter', 'alta', 'correlação', 'entre', 'si', 'consequência']",funcionamento
"['acontecer', 'árvore', 'decisão', 'ter', 'alto', 'correlação', 'entre', 'si']",funcionamento
[],
"['como', 'funcionar', 'hiperparâmentro', 'max', 'features']",maxFeatures
"['modo', 'funcionar', 'hiperparâmetro', 'max', 'features']",maxFeatures
"['como', 'hiperparâmetro', 'max', 'features', 'funcionar', 'floresta', 'aleatório']",maxFeatures
"['como', 'hiperparâmetro', 'max', 'features', 'impactar']",maxFeatures
"['modo', 'hiperparâmetro', 'max', 'features', 'funcionar']",maxFeatures
[],
"['como', 'funcionar', 'hiperparâmentro', 'max', 'depth']",maxDepth
"['modo', 'funcionar', 'hiperparâmetro', 'max', 'depth']",maxDepth
"['como', 'hiperparâmetro', 'max', 'depth', 'funcionar', 'floresta', 'aleatório']",maxDepth
"['como', 'hiperparâmetro', 'max', 'depth', 'impactar']",maxDepth
"['modo', 'hiperparâmetro', 'max', 'depth', 'funcionar']",maxDepth
[],
"['como', 'poder', 'utilizar', 'área', 'médico']",aplicacao
"['como', 'possível', 'utilizar', 'área', 'médico']",aplicacao
"['como', 'usar', 'floresta', 'aleatório', 'área', 'médico']",aplicacao
"['como', 'poder', 'usar', 'medicina']",aplicacao
"['como', 'seriar', 'possível', 'utilizar', 'medicina']",aplicacao
[],
"['como', 'fazer', 'predição', 'final']",funcionamento
"['como', 'floresta', 'aleatório', 'fazer', 'predição']",funcionamento
"['como', 'realizar', 'predição', 'final']",funcionamento
"['como', 'realizar', 'predição', 'final']",funcionamento
"['como', 'calcular', 'predição', 'final']",funcionamento
[],
"['cada', 'árvore', 'receber', 'mesmo', 'amostra', 'treino']",funcionamento
"['árvore', 'receber', 'amostra', 'treino', 'igual']",funcionamento
"['treinar', 'cada', 'árvore', 'com', 'mesmo', 'amostra']",funcionamento
"['amostra', 'treino', 'utilizar', 'cada', 'decision', 'tree', 'igual']",funcionamento
"['igual', 'amostra', 'utilizar', 'treinar', 'decision', 'trees', 'floresta']",funcionamento
[],
"['dois', 'método', 'aprendizado', 'máquina', 'usar', 'floresta', 'aleatório']",metodos
"['dois', 'método', 'aprendizado', 'máquina', 'usar']",metodos
"['dois', 'método', 'aprendizado', 'máquina', 'usar', 'floresta', 'aleatório', 'ele']",metodos
"['citar', 'dois', 'método', 'aprendizado', 'máquina', 'usar', 'floresta', 'aleatório']",metodos
"['citar', 'dois', 'método', 'aprendizado', 'máquina', 'usar']",metodos
"['aplicação', 'floresta', 'aleatório']",proposito
['aplicação'],proposito
['uso'],proposito
['usar'],proposito
"['usar', 'floresta', 'aleatório']",proposito
"['criar', 'floresta', 'aleatório']",historia
['criar'],historia
"['nome', 'criador', 'floresta', 'aleatório']",historia
"['nome', 'criador']",historia
"['desenvolver', 'floresta', 'aleatório']",historia
"['utilizar', 'árvore', 'decisão']",metodos
"['floresta', 'aleatório', 'utilizar', 'árvore', 'decisão']",metodos
"['floresta', 'aleatório', 'utilizar', 'árvore', 'decisão']",metodos
"['floresta', 'aleatório', 'utilizar', 'método', 'árvore', 'decisão']",metodos
"['utilizar', 'método', 'árvore', 'decisão']",metodos
"['utilizar', 'bagging']",bagging
"['floresta', 'aleatório', 'utilizar', 'bagging']",bagging
"['utilizar', 'bagging']",bagging
"['floresta', 'aleatório', 'utilizar', 'bagging']",bagging
"['bagging', 'utilizar']",bagging
"['floresta', 'aleatória', 'funcionar', 'com', 'dataset', 'possuir', 'dado', 'ausente']",tratamentoDeDados
"['floresta', 'aleatória', 'funcionar', 'com', 'conjunto', 'dado', 'não', 'possuir', 'todo', 'dado']",tratamentoDeDados
"['chamado', '(', 'floresta', 'aleatória', ')', 'funcionar', 'com', 'conjunto', 'conter', 'dado', 'ausente']",tratamentoDeDados
"['seriar', 'boa', 'escolha', 'usar', 'trabalhar', 'com', 'conjunto', 'possuir', 'dado', 'ausente']",tratamentoDeDados
"['floresta', 'aleatória', 'possibilitar', 'método', 'efetivo', 'substituir', 'dado', 'ausente']",tratamentoDeDados
"['bagging', 'como', 'funcionar']",bagging
"['bagging', 'e', 'como', 'ele', 'funcionar']",bagging
"['bagging', 'e', 'sua', 'aplicação']",bagging
"['funcionar', 'bagging']",bagging
"['como', 'funcionar', 'método', 'bagging']",bagging
"['floresta', 'aleatória', 'poder', 'trabalhar', 'com', 'grande', 'volume', 'dado']",tratamentoDeDados
"['floresta', 'aleatória', 'poder', 'lidar', 'com', 'grande', 'volume', 'dado']",tratamentoDeDados
"['permitir', 'lidar', 'com', 'dado', 'grande', 'volume']",tratamentoDeDados
"['permitir', 'lidar', 'com', 'grande', 'volume', 'dado']",tratamentoDeDados
"['lidar', 'com', 'grande', 'conjunto', 'dado', 'seriar', 'boa', 'ideia', 'usar', 'floresta', 'aleatória']",tratamentoDeDados
['sobreajuste'],sobreajuste
"['overfitting', 'poder', 'considerar', 'problema', 'árvore', 'decisão']",sobreajuste
"['sobreajuste', 'problema', 'árvore', 'decisão']",sobreajuste
"['sobreajuste', 'poder', 'problema', 'árvore', 'decisão', 'como', 'poder', 'tratar']",sobreajuste
['overfitting'],sobreajuste
"['forests', 'utilidade', 'processo', 'dividir', 'conquistar']",funcionamento
"['floresta', 'aleatório', 'tirar', 'proveito', 'processo', 'dividir', 'conquistar']",funcionamento
"['floresta', 'aleatório', 'usar', 'proceder', 'dividir', 'conquistar']",funcionamento
"['dividir', '-', '-', 'conquistar', 'método', 'utilizar', 'forests']",funcionamento
"['as', 'forests', 'utilizar', 'método', 'dividir', 'conquistar']",funcionamento
