ID,PERGUNTAS,RESPOSTAS,CLASSES,AUTORES,COMENTARIOS
70,Explique o hiperparâmetro oob_score.,"O hiperparâmetro oob_score (também conhecido como oob sampling), é um método de validação cruzada  do random forest cross. Nesta amostragem, cerca de um terço dos dados não é usado para treinar o modelo e pode ser usado para avaliar a sua performance. Tais amostras são chamadas de amostras fora do saco (out of the bag samples). É muito similar ao método de validação cruzada leave-one-out, mas sem gerar praticamente nenhum custo computacional adicional",oobScore,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
51,O que é o hiperparâmetro n_jobs?,"O hiperparâmetro n_jobs diz ao computador quantos processadores ele pode usar. Se o valor é setado para 1”, apenas um processador é permitido; em contrapartida, um valor de -1” significa que não há limite para o número de processador em uso.",nJobs,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
52,Para que serve o hiperparâmetro n_jobs?,"O hiperparâmetro n_jobs diz ao computador quantos processadores ele pode usar. Se o valor é setado para 1”, apenas um processador é permitido; em contrapartida, um valor de -1” significa que não há limite para o número de processador em uso.",nJobs,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
53,Como o hiperparâmetro n_jobs afeta o funcionamento do algoritmo?,"O hiperparâmetro n_jobs diz ao computador quantos processadores ele pode usar. Se o valor é setado para 1”, apenas um processador é permitido; em contrapartida, um valor de -1” significa que não há limite para o número de processador em uso.",nJobs,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
54,Qual é a importância do hiperparâmetro n_jobs?,"O hiperparâmetro n_jobs diz ao computador quantos processadores ele pode usar. Se o valor é setado para 1”, apenas um processador é permitido; em contrapartida, um valor de -1” significa que não há limite para o número de processador em uso.",nJobs,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
55,Explique o hiperparâmetro n_jobs.,"O hiperparâmetro n_jobs diz ao computador quantos processadores ele pode usar. Se o valor é setado para 1”, apenas um processador é permitido; em contrapartida, um valor de -1” significa que não há limite para o número de processador em uso.",nJobs,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
56,O que é o hiperparâmetro min_sample_leaf ?,"O hiperparâmetro min_sample_leaf  determina, como diz o próprio nome, qual é o número mínimo de folhas necessárias para que um nodo interno possa ser dividido.",minSampleLeaf,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
57,Para que serve o hiperparâmetro min_sample_leaf?,"O hiperparâmetro min_sample_leaf  determina, como diz o próprio nome, qual é o número mínimo de folhas necessárias para que um nodo interno possa ser dividido.",minSampleLeaf,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
58,Como o hiperparâmetro min_sample_leaf  afeta o funcionamento do algoritmo?,"O hiperparâmetro min_sample_leaf  determina, como diz o próprio nome, qual é o número mínimo de folhas necessárias para que um nodo interno possa ser dividido.",minSampleLeaf,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
59,Qual é a importância do hiperparâmetro min_sample_leaf ?,"O hiperparâmetro min_sample_leaf  determina, como diz o próprio nome, qual é o número mínimo de folhas necessárias para que um nodo interno possa ser dividido.",minSampleLeaf,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
60,Explique o hiperparâmetro min_sample_leaf .,"O hiperparâmetro min_sample_leaf  determina, como diz o próprio nome, qual é o número mínimo de folhas necessárias para que um nodo interno possa ser dividido.",minSampleLeaf,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
,O que é o método de subespaço aleatório?,"O método de subespaço aleatório é um método de aprendizado conjunto que tenta reduzir a correlação entre estimadores em um conjunto, treinando-os em amostras aleatórias de recursos, em vez de todo o conjunto de recursos.",metodo,,
,Qual a definição do método de subespaço aleatório?,"O método de subespaço aleatório é um método de aprendizado conjunto que tenta reduzir a correlação entre estimadores em um conjunto, treinando-os em amostras aleatórias de recursos, em vez de todo o conjunto de recursos.",metodo,,
,O que significa método de subespaço aleatório?,"O método de subespaço aleatório é um método de aprendizado conjunto que tenta reduzir a correlação entre estimadores em um conjunto, treinando-os em amostras aleatórias de recursos, em vez de todo o conjunto de recursos.",metodo,,
,Qual o conceito do método de subespaço aleatório?,"O método de subespaço aleatório é um método de aprendizado conjunto que tenta reduzir a correlação entre estimadores em um conjunto, treinando-os em amostras aleatórias de recursos, em vez de todo o conjunto de recursos.",metodo,,
,Qual o significado do método de subespaço aleatório?,"O método de subespaço aleatório é um método de aprendizado conjunto que tenta reduzir a correlação entre estimadores em um conjunto, treinando-os em amostras aleatórias de recursos, em vez de todo o conjunto de recursos.",metodo,,
46,O que é o hiperparâmetro max_features?,"O hiperparâmetro max_features, que nada mais é do que o número máximo de características que o random forest considera para partir um node. O último hiperparâmetro importante em termos de velocidade é o min_sample_leaf . Ele determina, como o nome indica, qual é o número mínimo de folhas que é necessário para dividir um nodo interno.",maxFeatures,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
47,Para que serve o hiperparâmetro max_features?,"O hiperparâmetro max_features, que nada mais é do que o número máximo de características que o random forest considera para partir um node. O último hiperparâmetro importante em termos de velocidade é o min_sample_leaf . Ele determina, como o nome indica, qual é o número mínimo de folhas que é necessário para dividir um nodo interno.",maxFeatures,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
48,Como o hiperparâmetro max_features afeta o funcionamento do algoritmo?,"O hiperparâmetro max_features, que nada mais é do que o número máximo de características que o random forest considera para partir um node. O último hiperparâmetro importante em termos de velocidade é o min_sample_leaf . Ele determina, como o nome indica, qual é o número mínimo de folhas que é necessário para dividir um nodo interno.",maxFeatures,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
49,Qual é a importância do hiperparâmetro max_features?,"O hiperparâmetro max_features, que nada mais é do que o número máximo de características que o random forest considera para partir um node. O último hiperparâmetro importante em termos de velocidade é o min_sample_leaf . Ele determina, como o nome indica, qual é o número mínimo de folhas que é necessário para dividir um nodo interno.",maxFeatures,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
50,Explique o hiperparâmetro max_features.,"O hiperparâmetro max_features, que nada mais é do que o número máximo de características que o random forest considera para partir um node. O último hiperparâmetro importante em termos de velocidade é o min_sample_leaf . Ele determina, como o nome indica, qual é o número mínimo de folhas que é necessário para dividir um nodo interno.",maxFeatures,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
101,Existem variações na implementação do random forest? ,"Ao invés de decision trees, também foi proposta a utilização de modelos lineares como estimadores base em random forests, em particular modelos de regressão logística multinominais e classificadores naive bayes.",implementacao,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
102,É possível substituir as árvores de decisão por outras estruturas no random forest?,"Ao invés de decision trees, também foi proposta a utilização de modelos lineares como estimadores base em random forests, em particular modelos de regressão logística multinominais e classificadores naive bayes.",implementacao,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
103,A floresta aleatória só funciona baseada em árvores de decisão?,"Ao invés de decision trees, também foi proposta a utilização de modelos lineares como estimadores base em random forests, em particular modelos de regressão logística multinominais e classificadores naive bayes.",implementacao,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
104,Há algum substitutivo para as árvores de decisão na floresta aleatória?,"Ao invés de decision trees, também foi proposta a utilização de modelos lineares como estimadores base em random forests, em particular modelos de regressão logística multinominais e classificadores naive bayes.",implementacao,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
105,Podem ser usados outros algoritmos como estimadores base no random forest?,"Ao invés de decision trees, também foi proposta a utilização de modelos lineares como estimadores base em random forests, em particular modelos de regressão logística multinominais e classificadores naive bayes.",implementacao,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
,O que motivou a criação do algoritmo Floresta aleatória?,"O random forest foi criado para tentar resolver problemas de redes neurais, utilizando a dinâmica do vizinho mais próximo.",historia,,
,O que causou a criação do algoritmo Floresta aleatória?,"O random forest foi criado para tentar resolver problemas de redes neurais, utilizando a dinâmica do vizinho mais próximo.",historia,,
,Por que o algoritmo Floresta aleatória foi criado?,"O random forest foi criado para tentar resolver problemas de redes neurais, utilizando a dinâmica do vizinho mais próximo.",historia,,
,Por que o algoritmo Floresta aleatória existe?,"O random forest foi criado para tentar resolver problemas de redes neurais, utilizando a dinâmica do vizinho mais próximo.",historia,,
,Qual a razão de o algoritmo Floresta aleatória ter sido criado?,"O random forest foi criado para tentar resolver problemas de redes neurais, utilizando a dinâmica do vizinho mais próximo.",historia,,
,Quem desenvolveu o algoritmo Floresta aleatória?,Tin Kam Ho,historia,,
,Quem criou o algoritmo Floresta aleatória?,Tin Kam Ho,historia,,
,Qual o nome de quem elaborou o algoritmo Floresta aleatória?,Tin Kam Ho,historia,,
,Qual o nome do criador do algoritmo random forest?,Tin Kam Ho,historia,,
,Qual o nome do desenvolvedor do algoritmo Floresta aleatória,Tin Kam Ho,historia,,
,Quando o algoritmo Floresta aleatória foi criado?,O método de florestas de decisão aleatórias foi proposto em 1995,historia,,
,Qual a data de criação do algoritmo Floresta aleatória?,O método de florestas de decisão aleatórias foi proposto em 1995,historia,,
,Em que momento o algoritmo Floresta aleatória foi criado?,O método de florestas de decisão aleatórias foi proposto em 1995,historia,,
,Há quanto tempo o algoritmo Floresta aleatória foi criado?,O método de florestas de decisão aleatórias foi proposto em 1995,historia,,
,Em que data foi criado o algoritmo Floresta aleatória?,O método de florestas de decisão aleatórias foi proposto em 1995,historia,,
21,Para que servem os hiperparâmetros no algoritmo de Random Forest?,Os hiperparâmetros no Floresta Aleatória podem ser modificados tanto para aumentar o poder preditivo do modelo como para torná-lo mais rápido.,hiperparametro,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",https://syncedreview.com/2017/10/24/how-random-forest-algorithm-works-in-machine-learning/
22,Qual a importância dos hiperparâmetros no algoritmo de Floresta Aleatória?,Os hiperparâmetros no Floresta Aleatória podem ser modificados tanto para aumentar o poder preditivo do modelo como para torná-lo mais rápido.,hiperparametro,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",https://syncedreview.com/2017/10/24/how-random-forest-algorithm-works-in-machine-learning/
23,Como a configuração dos hiperparâmetros afeta o desempenho do algoritmo Random Forest?,Os hiperparâmetros no Floresta Aleatória podem ser modificados tanto para aumentar o poder preditivo do modelo como para torná-lo mais rápido.,hiperparametro,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",https://syncedreview.com/2017/10/24/how-random-forest-algorithm-works-in-machine-learning/
24,"Quais são os hiperparâmetros do Random Forest, e para que eles servem?",Os hiperparâmetros no Floresta Aleatória podem ser modificados tanto para aumentar o poder preditivo do modelo como para torná-lo mais rápido.,hiperparametro,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",https://syncedreview.com/2017/10/24/how-random-forest-algorithm-works-in-machine-learning/
25,Qual a serventia dos hiperparâmetros no algoritmo Random Forest?,Os hiperparâmetros no Floresta Aleatória podem ser modificados tanto para aumentar o poder preditivo do modelo como para torná-lo mais rápido.,hiperparametro,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",https://syncedreview.com/2017/10/24/how-random-forest-algorithm-works-in-machine-learning/
,Para que servem os parâmetros do Floresta aleatória?,aumentar o poder preditivo ou tornar o modelo mais rápido.,hiperparametro,,
,Para que são utilizados os parâmetros do Floresta aleatória?,aumentar o poder preditivo ou tornar o modelo mais rápido.,hiperparametro,,
,Se mudarmos os parâmetros do Floresta aleatória o que pode ser modificado?,aumentar o poder preditivo ou tornar o modelo mais rápido.,hiperparametro,,
,Qual o impacto dos parâmetros no algoritmo Floresta aleatória?,aumentar o poder preditivo ou tornar o modelo mais rápido.,hiperparametro,,
,O aumento dos parâmetros traz quais benefícios ao Floresta aleatória?,aumentar o poder preditivo ou tornar o modelo mais rápido.,hiperparametro,,
,Quais são os parâmetros que devem ser modificados para aumentar o poder preditivo do Floresta aleatória?,"max_features, n_estimators e min_sample_leaf",hiperparametro,,
,Quais parâmetros podem ser modificados para aumentar o poder preditivo do Floresta aleatória?,"max_features, n_estimators e min_sample_leaf",hiperparametro,,
,Quais modificações podem aumentar o poder preditivo do Floresta aleatória?,"max_features, n_estimators e min_sample_leaf",hiperparametro,,
,Quais são os parâmetros responsáveis por aumentar o poder preditivo do Floresta aleatória?,"max_features, n_estimators e min_sample_leaf",hiperparametro,,
,Com quais parâmetros o Floresta aleatória melhora seu poder preditivo?,"max_features, n_estimators e min_sample_leaf",hiperparametro,,
,Quais são os parâmetros que devem ser modificados para aumentar a velocidade do modelo do Floresta aleatória?,"n_jobs, random_state e oob_score",hiperparametro,,
,Quais parâmetros podem ser modificados para aumentar a velocidade do modelo do Floresta aleatória?,"n_jobs, random_state e oob_score",hiperparametro,,
,Quais modificações podem aumentar a velocidade do modelo do Floresta aleatória?,"n_jobs, random_state e oob_score",hiperparametro,,
,Quais são os parâmetros responsáveis por aumentar a velocidade do modelo do Floresta aleatória?,"n_jobs, random_state e oob_score",hiperparametro,,
,Com quais parâmetros o Floresta aleatória torna-se mais eficaz?,"n_jobs, random_state e oob_score",hiperparametro,,
1,Como opera o algoritmo Random Forest?,"O Floresta Randômica combina centenas de milhares de árvores de decisão e treina cada uma delas em um conjunto ligeiramente diferente de observações, dividindo os nodos em cada árvore de acordo com um número limitado de características. A predição final do Random Forest consiste na média das predições de cada uma das árvores individualmente consideradas.",funcionamento,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
2,Qual é o mecanismo de funcionamento do Random Forest?,"O Floresta Randômica combina centenas de milhares de árvores de decisão e treina cada uma delas em um conjunto ligeiramente diferente de observações, dividindo os nodos em cada árvore de acordo com um número limitado de características. A predição final do Random Forest consiste na média das predições de cada uma das árvores individualmente consideradas.",funcionamento,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
3,Quais são os passos executados pelo algoritmo de Floresta Randômica?,"O Floresta Randômica combina centenas de milhares de árvores de decisão e treina cada uma delas em um conjunto ligeiramente diferente de observações, dividindo os nodos em cada árvore de acordo com um número limitado de características. A predição final do Random Forest consiste na média das predições de cada uma das árvores individualmente consideradas.",funcionamento,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
4,Como o Random Forest atua?,"O Floresta Randômica combina centenas de milhares de árvores de decisão e treina cada uma delas em um conjunto ligeiramente diferente de observações, dividindo os nodos em cada árvore de acordo com um número limitado de características. A predição final do Random Forest consiste na média das predições de cada uma das árvores individualmente consideradas.",funcionamento,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
5,O que o Floresta Randômica faz?,"O Floresta Randômica combina centenas de milhares de árvores de decisão e treina cada uma delas em um conjunto ligeiramente diferente de observações, dividindo os nodos em cada árvore de acordo com um número limitado de características. A predição final do Random Forest consiste na média das predições de cada uma das árvores individualmente consideradas.",funcionamento,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
31,"No tocante aos resultados que uma floresta pode obter e o número de árvores nesta floresta, há uma relação?","Quanto maior o número de árvores, mais acurado é o resultado obtido.",funcionamento,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",https://syncedreview.com/2017/10/24/how-random-forest-algorithm-works-in-machine-learning/
32,Existe uma relação direta entre o número de árvores na floresta e os resultados que ela pode obter?,"Quanto maior o número de árvores, mais acurado é o resultado obtido.",funcionamento,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",https://syncedreview.com/2017/10/24/how-random-forest-algorithm-works-in-machine-learning/
33,Há uma relação direta entre o número de árvores na floresta e os resultados que ela pode obter?,"Quanto maior o número de árvores, mais acurado é o resultado obtido.",funcionamento,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",https://syncedreview.com/2017/10/24/how-random-forest-algorithm-works-in-machine-learning/
34,De que forma o número de árvores na floresta impacta nos resultados?,"Quanto maior o número de árvores, mais acurado é o resultado obtido.",funcionamento,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",https://syncedreview.com/2017/10/24/how-random-forest-algorithm-works-in-machine-learning/
35,Existe uma relação direta entre os resultados que a floresta pode obter e o número de árvores que contém?,"Quanto maior o número de árvores, mais acurado é o resultado obtido.",funcionamento,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",https://syncedreview.com/2017/10/24/how-random-forest-algorithm-works-in-machine-learning/
36,Qual a diferença entre o algoritmo random forest e árvore de decisão?,"No algoritmo de árvore de decisão o cálculo dos nodos e a formação das regras acontecem a partir da informação ganha e dos cálculo do índice de Gini. Um escore de Gini fornece uma ideia de quão boa uma divisão é com base em quanto estão misturadas as classes formadas pela divisão, correspondendo ""0"" a uma divisão perfeita, e ""50/50"" ao pior caso possível.  No algorítmo de floresta randômica, ao invés de utilizar a informação adquirida ou o índice de Gini, o processo de encontrar o nodo raiz e de fazer a divisão em nodos de características vai ocorrer randomicamente.",funcionamento,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
37,Qual a diferença entre o algoritmo random forest e árvore de decisão?,"No algoritmo de árvore de decisão o cálculo dos nodos e a formação das regras acontecem a partir da informação ganha e dos cálculo do índice de Gini. Um escore de Gini fornece uma ideia de quão boa uma divisão é com base em quanto estão misturadas as classes formadas pela divisão, correspondendo ""0"" a uma divisão perfeita, e ""50/50"" ao pior caso possível.  No algorítmo de floresta randômica, ao invés de utilizar a informação adquirida ou o índice de Gini, o processo de encontrar o nodo raiz e de fazer a divisão em nodos de características vai ocorrer randomicamente.",funcionamento,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
38,Como os algoritmos random forest e árvore de decisão são diferentes?,"No algoritmo de árvore de decisão o cálculo dos nodos e a formação das regras acontecem a partir da informação ganha e dos cálculo do índice de Gini. Um escore de Gini fornece uma ideia de quão boa uma divisão é com base em quanto estão misturadas as classes formadas pela divisão, correspondendo ""0"" a uma divisão perfeita, e ""50/50"" ao pior caso possível.  No algorítmo de floresta randômica, ao invés de utilizar a informação adquirida ou o índice de Gini, o processo de encontrar o nodo raiz e de fazer a divisão em nodos de características vai ocorrer randomicamente.",funcionamento,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
39,Os algoritmos random forest e decision tree selecionam o nodo raiz da mesma forma?,"No algoritmo de árvore de decisão o cálculo dos nodos e a formação das regras acontecem a partir da informação ganha e dos cálculo do índice de Gini. Um escore de Gini fornece uma ideia de quão boa uma divisão é com base em quanto estão misturadas as classes formadas pela divisão, correspondendo ""0"" a uma divisão perfeita, e ""50/50"" ao pior caso possível.  No algorítmo de floresta randômica, ao invés de utilizar a informação adquirida ou o índice de Gini, o processo de encontrar o nodo raiz e de fazer a divisão em nodos de características vai ocorrer randomicamente.",funcionamento,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
40,Quais mecanismos são utilizados pelo random forest e pelo decision tree para selecionar o nodo raiz?,"No algoritmo de árvore de decisão o cálculo dos nodos e a formação das regras acontecem a partir da informação ganha e dos cálculo do índice de Gini. Um escore de Gini fornece uma ideia de quão boa uma divisão é com base em quanto estão misturadas as classes formadas pela divisão, correspondendo ""0"" a uma divisão perfeita, e ""50/50"" ao pior caso possível.  No algorítmo de floresta randômica, ao invés de utilizar a informação adquirida ou o índice de Gini, o processo de encontrar o nodo raiz e de fazer a divisão em nodos de características vai ocorrer randomicamente.",funcionamento,"Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",
,Como funciona o algoritmo Floresta aleatória?,O algoritmo de florestas aleatórias cria várias árvores de decisão e as combina para obter uma predição com maior acurácia e mais estável.,funcionamento,,
,Como opera o algoritmo Floresta aleatória?,O algoritmo de florestas aleatórias cria várias árvores de decisão e as combina para obter uma predição com maior acurácia e mais estável.,funcionamento,,
,Como trabalha o algoritmo Floresta aleatória?,O algoritmo de florestas aleatórias cria várias árvores de decisão e as combina para obter uma predição com maior acurácia e mais estável.,funcionamento,,
,Qual o funcionamento do algoritmo Floresta aleatória?,O algoritmo de florestas aleatórias cria várias árvores de decisão e as combina para obter uma predição com maior acurácia e mais estável.,funcionamento,,
,Como o algoritmo Floresta aleatória realiza a classificação?,O algoritmo de florestas aleatórias cria várias árvores de decisão e as combina para obter uma predição com maior acurácia e mais estável.,funcionamento,,
,Quantas e quais são as fases do Floresta aleatória?,"Duas fases; de treinamento: consiste em treinar cada árvore de decisão, os subconjuntos de dados são selecionados a partir do conjunto de dados de treinamento e definidos usando a estratégia bagging aleatória; e a segunda fase consiste em classificar os dados de teste pela votação maioritária",funcionamento,,
